,Artists,Piece_Title,Art_Piece
40,tintoretto,Madonna with Child and Donor Tintoretto,https://uploads2.wikiart.org/images/tintoretto/madonna-with-child-and-donor-tintoretto.jpg!PinterestSmall.jpg
41,sandro-botticelli,The Adoration of the Magi,https://uploads7.wikiart.org/images/sandro-botticelli/adoration-of-the-magi-1476-1.jpg!PinterestSmall.jpg
42,umberto-boccioni,Self-portrait,https://uploads5.wikiart.org/images/umberto-boccioni/self-portrait-1905.jpg!PinterestSmall.jpg
43,joachim-patinir,Miracle of St. Catherine,https://uploads0.wikiart.org/images/joachim-patinir/miracle-of-st-catherine.jpg!PinterestSmall.jpg
44,john-constable,Flatford Mill from a Lock on the Stour,https://uploads1.wikiart.org/images/john-constable/flatford-mill-from-a-lock-on-the-stour-1811.jpg!PinterestSmall.jpg
45,jacques-louis-david,The Oath of Horatii,https://uploads5.wikiart.org/images/jacques-louis-david/the-oath-of-horatii-1784.jpg!PinterestSmall.jpg
46,pieter-bruegel-the-elder,The Fight between Carnival and Lent,https://uploads4.wikiart.org/images/pieter-bruegel-the-elder/fight-between-carnival-and-lent-1559.jpg!PinterestSmall.jpg
47,simone-martini,Saint Catherine of Alexandria Polyptych,https://uploads2.wikiart.org/images/simone-martini/saint-catherine-of-alexandria-polyptych-1319.jpg!PinterestSmall.jpg
48,frederic-edwin-church,Niagara,https://uploads4.wikiart.org/images/frederic-edwin-church/niagara-1857.jpg!PinterestSmall.jpg
49,edward-hopper,Girl at a Sewing Machine,https://uploads8.wikiart.org/images/edward-hopper/girl-at-a-sewing-machine.jpg!PinterestSmall.jpg
50,lucio-fontana,Sphere,https://uploads8.wikiart.org/images/lucio-fontana/sphere.jpg!PinterestSmall.jpg
51,franz-marc,Horse in a landscape,https://uploads6.wikiart.org/images/franz-marc/horse-in-a-landscape-1910.jpg!PinterestSmall.jpg
52,pierre-auguste-renoir,Camille Monet and Her Son Jean in the Garden at Argenteuil,https://uploads1.wikiart.org/images/pierre-auguste-renoir/camille-monet-and-her-son-jean-in-the-garden-at-argenteuil-1874.jpg!PinterestSmall.jpg
53,james-mcneill-whistler,Morning Glories,https://uploads8.wikiart.org/images/james-mcneill-whistler/morning-glories.jpg!PinterestSmall.jpg
54,william-hogarth,Rake's Progress' The Gaming House,https://uploads0.wikiart.org/images/william-hogarth/w-a-rake-s-progress-the-gaming-house-1735.jpg!PinterestSmall.jpg
55,camille-corot,Temple of Minerva Medica,https://uploads4.wikiart.org/images/camille-corot/temple-of-minerva-medica-1826.jpg!PinterestSmall.jpg
56,georges-braque,Landscape near Antwerp,https://uploads3.wikiart.org/images/georges-braque/landscape-near-antwerp-1906.jpg!PinterestSmall.jpg
57,hans-memling,Adoration of the Magi: Whole Triptych,https://uploads1.wikiart.org/images/hans-memling/adoration-of-the-magi-whole-triptych.jpg!PinterestSmall.jpg
58,gerhard-richter,Mouth (Brigitte Bardot's Lips),https://uploads6.wikiart.org/images/gerhard-richter/mund-mouth-brigitte-bardot-s-lips-1963.jpg!PinterestSmall.jpg
59,amedeo-modigliani,Portrait of Maude Abrantes,https://uploads4.wikiart.org/images/amedeo-modigliani/portrait-of-maude-abrantes-1907(1).jpg!PinterestSmall.jpg
60,georges-de-la-tour,"The Hurdy-Gurdy Player, also called Hurdy-Gurdy Player with Hat",https://uploads6.wikiart.org/images/georges-de-la-tour/the-hurdy-gurdy-player-also-called-hurdy-gurdy-player-with-hat.jpg!PinterestSmall.jpg
61,cimabue,The Flagellation of Christ,https://uploads4.wikiart.org/images/cimabue/the-flagellation-of-christ.jpg!PinterestSmall.jpg
62,james-ensor,The Oyster Eater,https://uploads6.wikiart.org/images/james-ensor/the-oyster-eater-1882(1).jpg!PinterestSmall.jpg
63,el-lissitzky,Beat all the scattered,https://uploads1.wikiart.org/images/el-lissitzky/beat-all-the-scattered-1920.jpg!PinterestSmall.jpg
64,egon-schiele,"The Artist's Sister, Melanie",https://uploads6.wikiart.org/images/egon-schiele/the-artist-s-sister-melanie-1908.jpg!PinterestSmall.jpg
65,dante-gabriel-rossetti,Self-Portrait,https://uploads2.wikiart.org/images/dante-gabriel-rossetti/self-portrait-1847.jpg!PinterestSmall.jpg
66,frans-hals,Marriage Portrait of Isaac Massa and Beatrix van der Laen,https://uploads2.wikiart.org/images/frans-hals/marriage-portrait-of-isaac-massa-and-beatrix-van-der-laen.jpg!PinterestSmall.jpg
67,claude-lorrain,Coast Scene with Europa and the Bull,https://uploads0.wikiart.org/images/claude-lorrain/coast-scene-with-europa-and-the-bull-oil-on-canvas-painting-by-claude-lorrain-1634-1634.jpg!PinterestSmall.jpg
68,roy-lichtenstein,Blam,https://uploads8.wikiart.org/images/roy-lichtenstein/blam-1962(1).jpg!PinterestSmall.jpg
69,gustave-moreau,The Sphinx,https://uploads0.wikiart.org/images/gustave-moreau/the-sphinx-1864.jpg!PinterestSmall.jpg
70,giorgio-de-chirico,Piazza d'Italia,https://uploads0.wikiart.org/images/giorgio-de-chirico/piazza-d-italia-1913.jpg!PinterestSmall.jpg
71,jean-auguste-dominique-ingres,"Portrait of Napoléon Bonaparte, The First Council",https://uploads8.wikiart.org/images/jean-auguste-dominique-ingres/portrait-of-napoléon-bonaparte-the-first-council-1804.jpg!PinterestSmall.jpg
